FeederID,AnimalName,RFID,StartTime,EndTime,GoodDataDuration,CO2GramsPerDay,CH4GramsPerDay,O2GramsPerDay,H2GramsPerDay,H2SGramsPerDay,AirflowLitersPerSec,AirflowCf,WindSpeedMetersPerSec,WindDirDeg,WindCf,WasInterrupted,InterruptingTags,TempPipeDegreesCelsius,IsPreliminary,RunTime
1,"""000000000840003250681664""",000000000840003250681664,5/13/24 9:33,5/13/24 9:36,0:02:31,10531.31564,466.4894193,6815.441013,0,0,34.01589304,1.065650353,0.018465326,27.26658081,1.003693065,,"""""",17.1580299,1,6/27/24 0:54
1,"""000000000840003250681664""",000000000840003250681664,5/13/24 10:25,5/13/24 10:32,0:06:09,14032.11199,577.386078,8799.408108,0,0,33.99933104,1.066014717,0.068601757,314.5165221,1.013720351,,"""""",18.96392258,1,6/27/24 0:54
1,"""000000000840003250681799""",000000000840003250681799,5/13/24 12:29,5/13/24 12:45,0:10:21,9242.19808,301.3759942,6172.841005,0,0,33.85346504,1.069223769,0.06822303,57.95216496,1.013644606,,"""""",21.85128798,1,6/27/24 0:54
1,"""000000000840003250681664""",000000000840003250681664,5/13/24 13:06,5/13/24 13:12,0:04:00,14734.94229,497.8236681,10635.51415,0,0,33.84422019,1.069427156,0.134502668,42.05323017,1.026900534,,"""""",22.32894848,1,6/27/24 0:54
1,"""000000000840003250681664""",000000000840003250681664,5/13/24 14:34,5/13/24 14:41,0:04:55,20079.92833,755.8985744,11021.45407,0,0,33.71544235,1.072260268,0.109423832,35.38211811,1.021884766,,"""""",22.59073888,1,6/27/24 0:54
1,"""000000000840003234513955""",000000000840003234513955,5/13/24 14:59,5/13/24 15:11,0:03:42,13904.91165,469.2455684,8940.073587,0,0,33.60985829,1.074583118,0.132602356,18.15099845,1.026520471,,"""""",23.07524851,1,6/27/24 0:54
1,"""000000000840003250681664""",000000000840003250681664,5/13/24 15:39,5/13/24 15:42,0:02:12,18624.73489,628.6079239,12744.28343,0,0,33.60148144,1.074767408,0.110858666,67.49773541,1.022171733,,"""""",23.47126881,1,6/27/24 0:54
1,"""000000000840003250681788""",000000000840003250681788,5/13/24 15:46,5/13/24 15:52,0:02:23,15462.17442,412.4297404,11833.26623,0,0,33.55022714,1.075895003,0.019724409,20.75256046,1.003944882,,"""""",23.77890449,1,6/27/24 0:54
1,"""000000000840003234513955""",000000000840003234513955,5/13/24 16:54,5/13/24 17:00,0:05:05,15689.09132,564.6495689,10654.62369,0,0,33.57712496,1.075303251,0.119774511,75.02856843,1.023954902,,"""""",23.72278997,1,6/27/24 0:54
1,"""000000000840003250681799""",000000000840003250681799,5/13/24 17:01,5/13/24 17:03,0:02:16,18011.31541,585.1514131,12109.18888,0,0,33.51110041,1.076755791,0.092913877,43.52826945,1.018582775,,"""""",23.89269582,1,6/27/24 0:54
